"","Doc","Score","Documents"
"1"," 1"," 0","made even harder see post peopl actual follow recent updat now see photo peopl actual follow get ìyouív caught upî messag suggest post start pop follow peopl updat regular yet make imposs see miss much sensit inform includ sale event donat move explor page post home feed post buri new updat half ìnewî post timelin week old post ìolderî tab day creator engag drop exponenti make increas difficult work work other seen"
"2"," 2"," 0","made even harder see post peopl actual follow recent updat now see"
"3"," 3"," 1","like ití good app keep contact friend abl share thing creat artist swear app get wors everi updat chang layout home page ití basic second explor page donít see post follow chronolog order frustrat chang messag swipe prompt repli someon rather exit confus nonintuit mention outright useless chang placement notif post tab infuri app share shop keep shop tab main tab bar put reel explor"
"4"," 4"," 4","although mani impress featur app sure like new comment section see top like comment first recent one feel like miss everyth doesnít deem import"
"5"," 5","-5","overal excel media app howev found flaw look exampl comment chronolog ordermak confus found similar problem feed algorithm chronolog order anymor see post week ago post day ago next bigger frame video cab video minut long want post slime review video minut long separ video even though slime came togeth final think fix messag alway see someon seen direct messag isnt exact problem think option case someon peopl know seen messag pleas suggest consider know person complain thing problem good experi easi fun use share pictur video communiti even world fantast app need fix"
"6"," 6","-3","new updat absolut annoy canít see recent post without click older post peopl follow donít click display new pictur someon follow everi get app see point gotten nerv recent pictur hour old now even refresh page donít get updat recent post peopl follow new updat chang constant know peopl follow post daili basic chang format rather scroll feed see post peopl follow stupid suggest post feed chang incred stupid ití stupid anoth button see older post person page stop put explor page videospost peopl follow person page get multipl time day use explor page lot keep person page separ explor page beyond ridicul chang format donít see suggest post person page chang scroll person page display post peopl follow stop includ explor"
"7"," 7"," 0","never say updat ever thrill recent year everi singl app massiv overhaul control becom even clunki jam togeth donít even know ití tri anymor iív app year year notificationact tab right corner left account button baffl someon feel need move unconvent place possibl terribl now ití replac shop button everi dumb adhd self goe check notif iím sent bootleg wish page whichev work decid cram activ button top corner tab truli hope aw day unpleas hope get park ticket car run gas go kitchen find spous tri new recip dinner ití good comput crash inconveni use adob product forgot save recent lose lot progress whatev garbag team concoct ruin experi user base truli"
"8"," 8","-1","iív user long now realli enjoy app definit favorit media platform unlik realli like stori love save stuff without screenshot complaint howev home feed iím tire see post peopl follow wish chronolog order specif peopl show top feed may sound littl silli ití pretti embarrass accident like comment post day ago post ten minut ago realli donít understand make frank useless updat algorithm instead crack thumbnail starter photo video noth video now thatí someth need work feel algorithm chang benefit peopl exploit hurt regular user content intak littl long short great app pleas stop mess feed least give option chang pleas"
"9"," 9","-2","serious like app follow creator problem feed alway set first feed chronolog order ití set unnecessari miss mani post account follow end see post second upload photo next post anoth person day ago second sinc feed set keep chang post everi singl app post day ago like minut ago like youír lucki catch thatí recent thatí uncomfort annoy pleas bring chronolog order option thisi serious believ option perfect give us choic ití help accident miss post set complet miss whole week post someon anyway tri ask guy long now ití certain someth need"
"10","10","-3","find harder use everi updat chang made unnecessari feel unnatur canít see post chronolog order ìsuggestionsî feed go see peopl iím follow thatí slight annoy now explor feed click post intent scroll post suggest various user instead iím met user post iím interest ití annoy go click next pictur see next meme whathaveit caus close app open instead arenít make chang major affect user brows content donít know put charg updat everi singl updat get wors mention app automat follow account either never encount interest follow never left review appstor use favorit media outlet now iím much fond thing due updat think lot peopl might feel path take"
"11","11"," 1","great app chang amaz"
"12","12","-4","pleas backtrack return use iív mani artist complain get discourag feel may seem like problem media addict teen complain tri get get known mayb career ití kick gut"
"13","13"," 0","realli suggest switch vero true app month love plus arenít strict see content peopl follow"
"14","14"," 6","whole ever sinc got last summer great experi iív abl connect friend faster wouldív without ití good iím bore noth els howev mani month discov coupl issu drive nut first home page everi often sever recent post get mix seem random order donít like post get move top like post donít see like today post donít like rather see someon like home page post precis chronolog order second updat come around caption say fix bug issu like exact updat go certain page app pleas deal issu iív state near futur iíll abl confid give five star rate instead four star rate"
"15","15","-1","enjoy app ive use year recent issu bother updat go downhil sinc chronolog order feed remov feed mess peopl post mani day ago think see stuff everyth els solut help stay date post miss now miss post feed system recommend make option set turn chronolog order feed thing much easier anoth issu recent notic account follow longer chronolog order either seem organ put order like random thrown like prove difficult find account recent follow longer show top follow box follow account hard rememb name account follow want find account now lost mani account follow pleas chang app much easier"
"16","16"," 1","great need issu fix"
"17","17"," 6","whole ever sinc got last summer great experi iív abl connect friend faster wouldív without ití good iím bore noth els howev mani month discov coupl issu drive nut first home page everi often sever recent post get mix seem random order donít like post get move top like post donít see like today post donít like rather see someon like home page post precis chronolog order second updat come around caption say fix bug issu like exact updat go certain page app pleas deal issu iív state near futur iíll abl confid give five star rate instead four star rate"
"18","18","-7","delet mani favorit profil ìdo followî guidelin break rule see celebr get away post nude inappropri pictur everyday like kim kardashian sever spam nude page tri follow harass block report pleas reevalu guidelin ruin influenc live platform away break rule pleas start implement guidelin celebr stop hurt influenc"
