"","Doc","Score","Documents"
"1"," 1"," -4","jump forward ití polit season guess censor post exampl censor may disturb coupl sing rendit star spangl banner share conserv fb page either fb song lol now random post remov censor constant basic let slime ball advertis thatí scam steal money get review everyday"
"2"," 2","  0","peopl around constant share fals info thing noth happen friend liber side cours"
"3"," 3"," -1","start news tab funni allow news articl mislead headlin buit censor long ití liber news"
"4"," 4"," -1","use fun place connect old school friend familya place freeli express uniqu self use abl post anyth want whether true felt like nobodi realli care thing open great discuss now everyth share comment scrutin behindthescreen random ghost peopl peopl opinion freeli express like post comment taken block hidden audienc notifi opinion post happen someth person disagre test post polar opposit opinion issu see fals news fake news post current polit event distinct viewpoint ghost person disagre cover label fals link articl audienc click prove viewpoint fake news fit person viewpoint never touch person disagre thing post found quick viewpoint ghost robot behind screen read everybodyí person stuff good"
"5"," 5","-10","bias network promot atmospher allow bulli communiti standard hide behind promot atmospher let peopl harass like send video record video call vulgar bulli remark via messeng dirti delet game rampant instig fb especi agenda push ití gotten realli pathet mani peopl move parler mew fb hand wonít allow link either media network put messeng algorithm kick messag link per mani peopl open account competitor ití longer place opinion suspens tell wack job harass reason tell poster ignor sheí probabl hs student result woman send record messag messeng screw high kite slur make racial remark threaten tri video call took pic correspond post state wouldnít toler began post remark send comment messeng dirti delet wrote go dope got suspens person get reject report doesnít go standard iím guess conserv cover photo caus decis make"
"6"," 6","-10","app crash consist remov post comment simpli fail save post comment crash coddl racist internet troll obscen degre exampl person call discriminatori phrase base race religion gender sexual prefer report theyív edit post fb rule favor threaten freez account make complaint rest world canít see said revisionedit histori colleg friend mine pass year ago school undergrad degre account hack someon chang name account post raunchi pictur anoth young woman request money gift card exchang nude tri report account along former colleg advisor categori fit explain situat followup complaint via email zero repli receiv generic respons say content wasnít violat fb rule never address fact upset steal account hacker make money dead love warn submit complaint account generic respons donít expect much"
"7"," 7"," -2","mention lack help kind technic issu post see famili member post someth iím tag say ití avail caus ití delet crap mean man fix shut"
"8"," 8"," -3","experi ìon meî set across newsfe post eye get ìfact checkedî custom servic discuss reason account disabl artifici intellig robot charg year use platform post ìon meî post view disabl account along busi page now inaccess creat profil frame alpril hashtag ìgreat awakeningî statement flag ìracist hate speech bullyingî octob warn account disabl platform big threat constitut free speech ití platform built distract life becom addict engin collect data"
"9"," 9"," -1","give zero star ban didnít tell mute disgust act alon prove corrupt thereí absolut reason post post check possibl g nice phone thereí reason post block besid fact ban threw away key didnít even tell mute five star onlin marketplac conveni store fulli ban make honest live made sure give best custom support even gave refund will compli chang post ban still deserv busi american donít right author govern hand support network silenc free speech kick innoc user thereí reason ever right ití american law broken wrong scam stole never hack anyon iím ban iíd give zero star"
"10","10","  0","app show updat today now open ipad mini run io work fine yesterday pleas rememb mani peopl use older devic realli arenít old iív ipad year sure app work previous version io current updat read review app evid doesnít work newest io either app need fix asap canít fix bug tomorrow pleas roll us previous version updat phone now instal new version app still open evid certain devic affect still big problem need emerg fix updat follow advic anoth review delet app reinstal fix problem ití work evid data overload app store much data thereí need accumul data devic except save login cooki mayb login cooki form info builtin browser"
"11","11","  0","never write review recent updat delet month ago need paus scroll go someth els click someoneí pictur ìhold placeî newsfe great iím mom toddler oftentim multitask now switch differ app put phone second someth els newsfe refresh start top infuri iím middl read articl look album pictur purpos benefit certain user find get less less past week get annoy enjoy kind market research implement thing pleas get rid camera everyon brother camera phone think weír set iím tire swipe left exit post accident hit camera take second load canít imagin uiqa team get paid ìokî poor plan ìenhancementsî"
"12","12","  0","year stress enough without media shove person agenda throat donít yet consid high recommend watch documentari ìthe dilemmaî netflix first make decis type media caus increas suicid kid someth serious wrong"
"13","13","  1","give negat star donít think say want censor post peopl donít see mention democrat biden harri automat censor factcheck pop say post isnít true even though post provid fact even put jail hour day account complet close thought american happen freedom speech conserv one censor left say horribl disgust thing say doesnít go communiti standard type exact put biden instead trump account put jail turn cesspool donít anyth disgust account promot children sex traffick donít see close violat communiti standard get kickback clear"
"14","14"," -2","updat review nov stop mess app fix bug stop tweak go group know longer see group belong featur gone away report restor now latest updat ití gone"
"15","15"," -5","angri conserv content censor incens fb decid won presidenti elect near certifi rife obvious fraud illeg manipul perpetr marxistsleftist bent take control convert countri social presidenti talli display incorrect order influenc public larg accept joe biden presid titl presid elect countri republ dictatorship refus influenc fb mind think free constitut angri fb censor christian content ití ok condon traffick human hate speech left muslim belief mani notion find repugn promot hate marxist ideal zuckerburg sold soul power money go prison tri facilit convers countri social abus power brought justic accord place dictat direct nation money power peopl decid"
