"","Doc","Score","Documents"
"1"," 1","13","much good observ new month seen amaz loud motiv mouth pop mama soft spoken ladi leah miss call motiv speaker better crew re awesom cup holder let s forget red beard x school teacher supdaili s good morn walk entertain mini seri mafia crew tv mimic skit like friend pov content mani truli make think militari rang support start lead csm interact music new music creation independ promot larg group like bangtan boy small self starter extrem talent t forget old classic use new excit way artist put brush canva pencil paper blow away skill level go amaz common goal end place live nicer compassion give world sure everyon pitch help love life matter s pretti awesom place spend continu observ smile laughter tear"
"2"," 2","11","think great app honest help grow kind differ way kind addict good howev feel like improv app exampl abl see duet video feel like easier see peopl s reaction share feel like abl stori hour don t video someth share realli import addit abl repost video stori saw realli realli good danganronpa edit super underr couldn t share anyon duet got view day think abl go live like facetim live peopl super fun use featur pin comment t anymor kind disappoint great abl pin video incas someon new account peopl introduc anyway think s want share help grow communiti app"
"3"," 3"," 1","polit realli bad mental health ve tri put interest everi see video still keep come wish like block certain video like know s import awar date s thing liek eat disord assault depress stuff don t think ban everyon bc peopl need inform awar whatev trigger annoy bad like ur alway remind even u pass video level like level don t show video next handl fewyou show lil m ok w see m interest topic w potenti trigger stuff trust ll overkil u let w everi topic like fashion diy lgbtq earn spot side know s hardimposs show alll video topic bc may associ word topic hashtag caption comment whatev def cut still help"
"4"," 4"," 7","hi name makenzi hill m problem duet exampl duet favorit creator jayden croe ll duet look see turn s like video fine bit s like mine goe faster someth sync jayden s like first made notic happen duet someon lot transit still fix m known make sync video favorit creator jayden croe sync s like video go ahead therefor mess video keep redo still happen next love add featur like duet jayden video record hand set timer certain point end duet person t hear stop second stop music don t duet video sound second duet video don t realli hope fix realli love make video ❤️"
"5"," 5","17","great app feel like even better viewer like everyon els like watch tok short period instanc like show friend someth funni watch unfortun end video now wait show absolut comedi gold first doesn t seem bad although someth consider everybodi watch video get good part s idea come play think featur includ fast forward revers video exact point otherwis love app creativ don t s good pass laugh better yet s find common ground peopl like similar stuff person like lot know don t s ok decid like ll thrill end s opinion app think tri say like don t feel like"
"6"," 6"," 4","love made better relationship friend genuin help becom confid person past month thing start chang good stop put lgbtq comedi video fyp peopl call shadow ban instead funni video video smile find feel trap use express laugh now see polit inappropri danc good video everyon hate miss old sad feel happi insecur learn wasnt alon know great spread awar share news m alway get argument s polit view correct app mean t children teen s suppos teach spread posit learn danger world faster parent peopl app young polit includ yes know what go world near half thing shown fyp page love app m start drift away new content"
"7"," 7"," 8","ok great tri done delet tri like five tiktok differ sound think annoy get like five minut get repick like watch tell swipe think need fix whatev happen thing good oh think everybodi abl go live stupid amount follow like go live think guy pick go page everyon chanc go viral in let certain peopl stepsist remix differ song said whoever name song get prize got like k view like like tiktok get like anoth need chang certain amount decid say tap fast heck get notif someon aren t even follow live like s stupid think chang lot thing"
"8"," 8"," 3","join last year ipad mini post video everyday though concern brought starter person dissatisfi wait hour without like anyon s video nice like peopl s video without run problem anoth concern enough fan go live hope go live week start account haven t progress honest think need follow go live app don t like put famous peopl page like give chanc smaller account account least follow nice less ad first open phone see ad trend anoth app m scroll page see random ad doesn t need although know ad promot movi anoth concern brought attent use cuss word cuss word found almost video watch disappoint sound get head concern proud apart communiti"
"9"," 9"," 6","app first got lot attent music didn t care whole lip sync prefer watch made creativ photo makeupsfx use spread creativ make aesthet video makeup howev never understood someon lip sync random song got famous creativ artist follow pretti decent audienc made sens peopl popular howev got phase stop use recent begin year got popular thought ridicul caus end delet video found cringey look now peopl ridicul danc isn t even danc like serious whatev happen old swing danc tiktok overr tend worst petti drama like grow don t like doesn t mean give death eye opinion like world seem like ridicul danc old account hack now phone number s mine ve alway number reach twice cours receiv help s even delet account atleast find help overr dramat ridicul danc"
"10","10","13","feel like ticktock amaz app less addict great knew delet feel like need s hard resist find suggest like might see friend suggest see famili member even even peopl neighborhood s like see follow s like kind text better friend love love show like like s fun show talent peopl feel like addict caution give anybodi want download s addict get ll miss delet s like ll miss abl show talent like world kind phone abl text communic differ way like video togeth like free account abl show towel ll end miss s pretti much five"
"11","11"," 3","love s app u endless scroll hour blank express s communiti famili even see video laugh cri feel less alon everybodi app goe thing togeth alway anoth s s safe place insid joke togeth think everybodi age univers agre famili help get everyday struggl m feel someth provid thousand video kid go even video give advic comfort post video vent thought feel bounc around internet friend alway find support alway dark corner media app far haven t encount singl peopl find communiti s mani us peopl live thousand mile apart interact bond like good friend connect us"
